Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls,Year,Balls
Mike Gatting,8,1,35,1,4.38,0,0,0,0,0,1983,48
Phil DeFreitas,6,1,34,0,5.67,0,0,0,0,0,1987,36
Gladstone Small,6,0,33,0,5.5,0,0,0,0,0,1987,36
Neil Foster,10,0,38,1,3.8,0,0,0,0,0,1987,60
Eddie Hemmings,10,1,48,2,4.8,0,0,0,0,0,1987,60
John Emburey,10,0,44,0,4.4,0,0,0,0,0,1987,60
Graham Gooch,8,1,42,1,5.25,0,0,0,0,0,1987,48
Craig McDermott,10,1,51,1,5.1,0,0,0,0,0,1987,60
Bruce Reid,10,0,43,0,4.3,0,0,0,0,0,1987,60
Steve Waugh,9,0,37,2,4.11,0,0,0,0,0,1987,54
Simon O'Donnell,10,1,35,1,3.5,0,0,0,0,0,1987,60
Tim May,4,0,27,0,6.75,0,0,0,0,0,1987,24
Allan Border,7,0,38,2,5.43,0,0,0,0,0,1987,42
Kapil Dev,10,1,38,2,3.8,0,0,0,0,0,1987,60
Manoj Prabhakar,9,1,40,0,4.44,0,0,0,0,0,1987,54
Maninder Singh,10,0,54,3,5.4,0,0,0,0,0,1987,60
Chetan Sharma,9,0,41,1,4.56,0,0,0,0,0,1987,54
Ravi Shastri,10,0,49,0,4.9,0,0,0,0,0,1987,60
Mohammad Azharuddin,2,0,13,0,6.5,0,0,0,0,0,1987,12
Phil DeFreitas,7,0,37,1,5.29,0,0,0,0,0,1987,42
Gladstone Small,6,0,22,1,3.67,0,0,0,0,0,1987,36
John Emburey,10,1,35,1,3.5,0,0,0,0,0,1987,60
Neil Foster,10,0,47,3,4.7,0,0,0,0,0,1987,60
Eddie Hemmings,9.3,1,52,4,5.47,0,0,0,0,0,1987,57
Graham Gooch,3,0,16,0,5.33,0,0,0,0,0,1987,18
Imran Khan,10,1,36,3,3.6,0,0,0,0,0,1987,60
Saleem Jaffar,6,0,57,0,9.5,0,0,0,0,0,1987,36
Wasim Akram,10,0,54,0,5.4,0,0,0,0,0,1987,60
Abdul Qadir,10,0,39,0,3.9,0,0,0,0,0,1987,60
Tauseef Ahmed,10,1,39,1,3.9,0,0,0,0,0,1987,60
Saleem Malik,4,0,22,1,5.5,0,0,0,0,0,1987,24
Craig McDermott,10,0,44,5,4.4,0,0,0,0,0,1987,60
Bruce Reid,10,2,41,2,4.1,0,0,0,0,0,1987,60
Steve Waugh,9,1,51,1,5.67,0,0,0,0,0,1987,54
Simon O'Donnell,10,1,45,0,4.5,0,0,0,0,0,1987,60
Tim May,6,0,36,0,6.0,0,0,0,0,0,1987,36
Allan Border,4,0,26,1,6.5,0,0,0,0,0,1987,24
Kapil Dev,6,0,24,0,4.0,0,0,0,0,0,1987,36
Manoj Prabhakar,7,0,23,1,3.29,0,0,0,0,0,1987,42
Chetan Sharma,10,2,51,3,5.1,0,0,0,0,0,1987,60
Mohammad Azharuddin,7,0,26,1,3.71,0,0,0,0,0,1987,42
Maninder Singh,10,0,51,1,5.1,0,0,0,0,0,1987,60
Ravi Shastri,10,1,32,1,3.2,0,0,0,0,0,1987,60
Danny Morrison,10,0,69,0,6.9,0,0,0,0,0,1987,60
Ewen Chatfield,4.1,1,39,0,9.36,0,0,0,0,0,1987,25
Martin Snedden,4,0,29,0,7.25,0,0,0,0,0,1987,24
Willie Watson,10,0,50,1,5.0,0,0,0,0,0,1987,60
Dipak Patel,4,0,36,0,9.0,0,0,0,0,0,1987,24
Imran Khan,9,0,57,3,6.33,0,0,0,0,0,1987,54
Wasim Akram,10,0,45,3,4.5,0,0,0,0,0,1987,60
Abdul Qadir,10,1,29,0,2.9,0,0,0,0,0,1987,60
Mudassar Nazar,10,0,47,1,4.7,0,0,0,0,0,1987,60
Saleem Jaffar,6,0,37,0,6.17,0,0,0,0,0,1987,36
Saleem Malik,5,0,30,0,6.0,0,0,0,0,0,1987,30
Patrick Patterson,10,1,34,3,3.4,0,0,0,0,0,1987,60
Courtney Walsh,10,1,34,2,3.4,0,0,0,0,0,1987,60
Roger Harper,10,0,38,1,3.8,0,0,0,0,0,1987,60
Winston Benjamin,10,0,69,3,6.9,0,0,0,0,0,1987,60
Sir Viv Richards,10,0,45,0,4.5,0,0,0,0,0,1987,60
