time_period,term,tfidf
2019-9-Q4,blower,0.07702355635938937
2019-9-Q4,september,0.07702355635938937
2019-9-Q4,complaint,0.07321002536633674
2019-9-Q4,climate,0.07048192620336108
2019-10-Q1,trump,0.3187369977794108
2019-10-Q1,impeachment,0.20152181229060215
2019-10-Q1,new,0.17928956125091858
2019-10-Q1,review,0.11952637416727906
2019-10-Q1,ukraine,0.10316779373282478
2019-10-Q1,says,0.10209544460121753
2019-10-Q1,trumps,0.09960531180606587
2019-10-Q1,joker,0.0993632719068712
2019-10-Q1,briefing,0.09462504621576258
2019-10-Q1,police,0.08964478062545929
2019-10-Q1,hong_kong,0.08727722624800915
2019-10-Q1,october,0.08111904695153924
2019-10-Q1,world,0.0796842494448527
2019-10-Q1,new_york,0.0796842494448527
2019-10-Q1,whistle,0.07623099145600391
2019-10-Q1,day,0.0747039838545494
2019-10-Q1,china,0.06972371826424613
2019-10-Q1,dies,0.06972371826424613
2019-10-Q1,million,0.06972371826424613
2019-10-Q1,salazar,0.06947606823268941
2019-10-Q2,trump,0.28980972428774865
2019-10-Q2,impeachment,0.16474545164897278
2019-10-Q2,syria,0.16273850933259346
2019-10-Q2,new,0.1459782314930882
2019-10-Q2,kurds,0.1207488462213228
2019-10-Q2,typhoon,0.10750968842415863
2019-10-Q2,debate,0.10482976174793396
2019-10-Q2,review,0.10304345752453284
2019-10-Q2,lang,0.09013454063494407
2019-10-Q2,october,0.08491812620715318
2019-10-Q2,kurdish,0.08277993006008301
2019-10-Q2,briefing,0.08157607054025517
2019-10-Q2,hagibis,0.08143026425056411
2019-10-Q2,nobel,0.07969572418719457
2019-10-Q2,china,0.0794293318418274
2019-10-Q2,turkey,0.0753755067065474
2019-10-Q2,says,0.0729891157465441
2019-10-Q2,ukraine,0.07172641674322675
2019-10-Q2,california,0.06654889965126079
2019-10-Q2,man,0.06440216095283302
2019-10-Q3,trump,0.2316210555487508
2019-10-Q3,playoffs,0.1928344505062736
2019-10-Q3,brexit,0.18718376997751265
2019-10-Q3,review,0.1535748303094978
2019-10-Q3,syria,0.15048106998192193
2019-10-Q3,new,0.12336338828139988
2019-10-Q3,impeachment,0.11943749458687535
2019-10-Q3,week,0.11832814794338355
2019-10-Q3,17,0.10540178848662432
2019-10-Q3,moma,0.1042993723953198
2019-10-Q3,debate,0.09835254665403297
2019-10-Q3,cummings,0.09204651924104323
2019-10-Q3,dies,0.0906343260842938
2019-10-Q3,make,0.08811670591528563
